rect_type,N,trial,estimate
narrow,1600,7,0.924219
narrow,1600,8,0.942969
narrow,1600,9,0.945313
narrow,1600,10,0.964844
narrow,1600,11,0.944531
narrow,1600,12,0.924219
narrow,1600,13,0.946875
narrow,1600,14,0.946094
narrow,1600,15,0.939844
narrow,1600,16,0.944531
narrow,1600,17,0.939844
narrow,1600,18,0.94375
narrow,1600,19,0.958594
narrow,1600,20,0.925781
narrow,1600,21,0.951563
narrow,1600,22,0.96875
narrow,1600,23,0.9375
narrow,1600,24,0.946875
narrow,1600,25,0.936719
narrow,1600,26,0.944531
narrow,1600,27,0.932813
narrow,1600,28,0.935938
narrow,1600,29,0.963281
wide,2100,0,0.930547
wide,2100,1,0.944436
wide,2100,2,0.925918
wide,2100,3,0.907399
wide,2100,4,1.09258
wide,2100,5,1.04166
wide,2100,6,0.930547
wide,2100,7,0.995362
wide,2100,8,0.916659
wide,2100,9,1.03703
wide,2100,10,0.972214
wide,2100,11,0.916659
wide,2100,12,0.907399
wide,2100,13,0.976843
wide,2100,14,1.02777
wide,2100,15,0.976843
wide,2100,16,0.958325
wide,2100,17,1.03703
wide,2100,18,1.04166
wide,2100,19,0.967584
wide,2100,20,0.981473
wide,2100,21,0.874992
wide,2100,22,0.916659
wide,2100,23,0.976843
wide,2100,24,1.04629
wide,2100,25,1.00462
wide,2100,26,1.08795
wide,2100,27,0.888881
wide,2100,28,1.01388
wide,2100,29,0.884251
narrow,2100,0,0.959524
narrow,2100,1,0.970238
narrow,2100,2,0.957143
narrow,2100,3,0.941071
narrow,2100,4,0.925595
narrow,2100,5,0.939286
narrow,2100,6,0.949405
narrow,2100,7,0.93631
narrow,2100,8,0.942857
narrow,2100,9,0.948214
narrow,2100,10,0.931548
narrow,2100,11,0.942262
narrow,2100,12,0.924405
narrow,2100,13,0.938095
narrow,2100,14,0.954762
narrow,2100,15,0.953571
narrow,2100,16,0.938095
narrow,2100,17,0.924405
narrow,2100,18,0.932738
narrow,2100,19,0.949405
narrow,2100,20,0.95119
narrow,2100,21,0.939881
narrow,2100,22,0.947024
narrow,2100,23,0.927381
narrow,2100,24,0.955357
narrow,2100,25,0.925
narrow,2100,26,0.933333
narrow,2100,27,0.919048
narrow,2100,28,0.933929
narrow,2100,29,0.947024
wide,2600,0,0.972214
wide,2600,1,0.934821
wide,2600,2,0.882471
wide,2600,3,0.983431
wide,2600,4,0.983431
wide,2600,5,0.841339
wide,2600,6,0.957256
wide,2600,7,0.919864
wide,2600,8,0.931081
wide,2600,9,0.901167
wide,2600,10,0.968474
wide,2600,11,1.02456
wide,2600,12,0.964735
wide,2600,13,0.931081
wide,2600,14,0.863774
wide,2600,15,0.919864
wide,2600,16,0.848817
wide,2600,17,0.919864
wide,2600,18,0.863774
wide,2600,19,0.830121
wide,2600,20,0.860035
wide,2600,21,0.916124
wide,2600,22,0.964735
wide,2600,23,0.957256
wide,2600,24,1.05074
wide,2600,25,0.946039
wide,2600,26,0.904907
wide,2600,27,0.964735
wide,2600,28,0.845078
wide,2600,29,0.919864
narrow,2600,0,0.940385
narrow,2600,1,0.962019
narrow,2600,2,0.941346
narrow,2600,3,0.924519
narrow,2600,4,0.934615
narrow,2600,5,0.940865
narrow,2600,6,0.954808
narrow,2600,7,0.928365
narrow,2600,8,0.94375
narrow,2600,9,0.963462
narrow,2600,10,0.954327
narrow,2600,11,0.952404
narrow,2600,12,0.934615
narrow,2600,13,0.951442
narrow,2600,14,0.954808
narrow,2600,15,0.973077
narrow,2600,16,0.937019
narrow,2600,17,0.937981
narrow,2600,18,0.951442
narrow,2600,19,0.935577
narrow,2600,20,0.955288
narrow,2600,21,0.954327
narrow,2600,22,0.953365
narrow,2600,23,0.945192
narrow,2600,24,0.936538
narrow,2600,25,0.944231
narrow,2600,26,0.938942
narrow,2600,27,0.925
narrow,2600,28,0.941346
narrow,2600,29,0.944231
wide,3100,0,0.956533
wide,3100,1,0.956533
wide,3100,2,0.862448
wide,3100,3,0.994167
wide,3100,4,0.965941
wide,3100,5,0.969077
wide,3100,6,0.906354
wide,3100,7,0.922035
wide,3100,8,0.893809
wide,3100,9,0.925171
wide,3100,10,0.987894
wide,3100,11,0.937716
wide,3100,12,0.865584
wide,3100,13,1.09139
wide,3100,14,1.03807
wide,3100,15,1.00358
wide,3100,16,0.953397
wide,3100,17,0.918899
wide,3100,18,0.969077
wide,3100,19,0.887537
wide,3100,20,0.824813
wide,3100,21,0.922035
wide,3100,22,0.922035
wide,3100,23,0.900082
wide,3100,24,0.940852
wide,3100,25,0.840494
wide,3100,26,0.956533
wide,3100,27,0.928307
wide,3100,28,0.931443
wide,3100,29,0.95026
narrow,3100,0,0.950806
narrow,3100,1,0.939919
narrow,3100,2,0.956048
narrow,3100,3,0.937903
narrow,3100,4,0.945565
narrow,3100,5,0.944758
narrow,3100,6,0.966129
narrow,3100,7,0.945968
narrow,3100,8,0.935484
narrow,3100,9,0.939113
narrow,3100,10,0.928226
narrow,3100,11,0.935484
narrow,3100,12,0.949194
narrow,3100,13,0.940726
narrow,3100,14,0.922984
narrow,3100,15,0.950806
narrow,3100,16,0.941935
narrow,3100,17,0.953629
narrow,3100,18,0.945968
narrow,3100,19,0.942339
narrow,3100,20,0.945968
narrow,3100,21,0.952016
narrow,3100,22,0.942742
narrow,3100,23,0.957661
narrow,3100,24,0.933065
narrow,3100,25,0.95121
narrow,3100,26,0.954032
narrow,3100,27,0.943145
narrow,3100,28,0.926613
narrow,3100,29,0.940323
wide,3600,0,0.874992
wide,3600,1,0.964112
wide,3600,2,0.937106
wide,3600,3,0.969513
wide,3600,4,0.923603
wide,3600,5,0.899298
wide,3600,6,0.980315
wide,3600,7,0.980315
wide,3600,8,0.985717
wide,3600,9,0.988417
wide,3600,10,0.901998
wide,3600,11,0.904699
wide,3600,12,0.893896
wide,3600,13,0.920902
wide,3600,14,0.923603
wide,3600,15,0.988417
wide,3600,16,0.980315
wide,3600,17,1.00192
wide,3600,18,0.947908
wide,3600,19,0.961411
wide,3600,20,0.926304
wide,3600,21,0.899298
wide,3600,22,0.985717
wide,3600,23,0.9101
wide,3600,24,0.907399
wide,3600,25,0.918202
wide,3600,26,0.996519
wide,3600,27,0.861489
wide,3600,28,0.929004
wide,3600,29,0.923603
narrow,3600,0,0.937847
narrow,3600,1,0.936111
narrow,3600,2,0.940625
narrow,3600,3,0.938542
narrow,3600,4,0.942014
narrow,3600,5,0.927431
narrow,3600,6,0.951736
narrow,3600,7,0.951736
narrow,3600,8,0.95
narrow,3600,9,0.952083
narrow,3600,10,0.943403
narrow,3600,11,0.940972
narrow,3600,12,0.948611
narrow,3600,13,0.926736
narrow,3600,14,0.938542
narrow,3600,15,0.960764
narrow,3600,16,0.952083
narrow,3600,17,0.949306
narrow,3600,18,0.940972
narrow,3600,19,0.93125
narrow,3600,20,0.952778
narrow,3600,21,0.948958
narrow,3600,22,0.948958
narrow,3600,23,0.931597
narrow,3600,24,0.949653
narrow,3600,25,0.935764
narrow,3600,26,0.950347
narrow,3600,27,0.951042
narrow,3600,28,0.950694
narrow,3600,29,0.939236
wide,4100,0,0.893962
wide,4100,1,0.939016
wide,4100,2,0.877363
wide,4100,3,0.839423
wide,4100,4,0.986441
wide,4100,5,0.939016
wide,4100,6,0.998297
wide,4100,7,0.886848
wide,4100,8,0.967471
wide,4100,9,0.962729
wide,4100,10,0.90819
wide,4100,11,0.90819
wide,4100,12,0.993555
wide,4100,13,0.877363
wide,4100,14,0.920046
wide,4100,15,0.941387
wide,4100,16,0.943759
wide,4100,17,0.910561
wide,4100,18,0.931902
wide,4100,19,0.991184
wide,4100,20,0.972214
wide,4100,21,0.912932
wide,4100,22,0.934274
wide,4100,23,0.995926
wide,4100,24,0.910561
wide,4100,25,0.94613
wide,4100,26,0.939016
wide,4100,27,0.995926
wide,4100,28,0.993555
wide,4100,29,0.960357
narrow,4100,0,0.940549
narrow,4100,1,0.940549
narrow,4100,2,0.927744
narrow,4100,3,0.932012
narrow,4100,4,0.949085
narrow,4100,5,0.945122
narrow,4100,6,0.943293
narrow,4100,7,0.946341
narrow,4100,8,0.933232
narrow,4100,9,0.95
narrow,4100,10,0.941768
narrow,4100,11,0.932622
narrow,4100,12,0.945427
narrow,4100,13,0.95122
narrow,4100,14,0.929268
narrow,4100,15,0.946341
narrow,4100,16,0.944512
narrow,4100,17,0.94939
narrow,4100,18,0.935671
narrow,4100,19,0.944817
narrow,4100,20,0.958537
narrow,4100,21,0.953354
narrow,4100,22,0.937805
narrow,4100,23,0.952134
narrow,4100,24,0.955793
narrow,4100,25,0.946037
narrow,4100,26,0.955488
narrow,4100,27,0.942378
narrow,4100,28,0.955793
narrow,4100,29,0.947561
wide,4600,0,0.938397
wide,4600,1,0.982781
wide,4600,2,0.898241
wide,4600,3,1.00603
wide,4600,4,0.951079
wide,4600,5,0.894014
wide,4600,6,0.940511
wide,4600,7,0.913035
wide,4600,8,0.836949
wide,4600,9,0.93417
wide,4600,10,1.02716
wide,4600,11,0.913035
wide,4600,12,0.953192
wide,4600,13,0.957419
wide,4600,14,0.915149
wide,4600,15,0.932057
wide,4600,16,0.904581
wide,4600,17,0.917262
wide,4600,18,0.910922
wide,4600,19,1.03351
wide,4600,20,0.889787
wide,4600,21,0.932057
wide,4600,22,0.951079
wide,4600,23,1.03139
wide,4600,24,0.961646
wide,4600,25,0.92783
wide,4600,26,0.991235
wide,4600,27,0.991235
wide,4600,28,0.93417
wide,4600,29,0.96376
narrow,4600,0,0.937228
narrow,4600,1,0.958152
narrow,4600,2,0.95625
narrow,4600,3,0.940217
narrow,4600,4,0.936957
narrow,4600,5,0.952717
narrow,4600,6,0.945109
narrow,4600,7,0.955435
narrow,4600,8,0.94837
narrow,4600,9,0.945652
narrow,4600,10,0.951087
narrow,4600,11,0.952446
narrow,4600,12,0.94538
narrow,4600,13,0.950272
narrow,4600,14,0.936413
narrow,4600,15,0.942391
narrow,4600,16,0.946467
narrow,4600,17,0.938315
narrow,4600,18,0.953261
narrow,4600,19,0.946196
narrow,4600,20,0.95462
narrow,4600,21,0.955163
narrow,4600,22,0.952174
narrow,4600,23,0.95163
narrow,4600,24,0.93913
narrow,4600,25,0.94212
narrow,4600,26,0.953261
narrow,4600,27,0.948098
narrow,4600,28,0.94538
narrow,4600,29,0.938315
wide,5100,0,1.01796
wide,5100,1,0.947432
wide,5100,2,1.05418
wide,5100,3,0.955057
